Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
626          0.571094             0.543133                  0.027961 
627          0.573867             0.542879                  0.030987 
628          0.571589             0.543318                  0.028271 
629          0.568222             0.542994                  0.025229 
630          0.572139             0.543375                  0.028764 
631          0.571972             0.543426                  0.028546 
632          0.576056             0.543644                  0.032411 
633          0.581261             0.544198                  0.037063 
634          0.579944             0.544892                  0.035053 
635          0.579361             0.545764                  0.033597 
636          0.576056             0.545855                  0.030200 
637          0.575994             0.545978                  0.030016 
638          0.581439             0.546495                  0.034944 
639          0.578178             0.547480                  0.030698 
640          0.577444             0.548523                  0.028921 
641          0.576328             0.548620                  0.027708 
642          0.580078             0.548667                  0.031411 
643          0.582089             0.548942                  0.033147 
644          0.576883             0.548982                  0.027901 
645          0.581139             0.549156                  0.031983 
646          0.584111             0.550279                  0.033832 
647          0.595217             0.550789                  0.044427 
648          0.590200             0.551308                  0.038892 
649          0.580600             0.552018                  0.028582 
650          0.582533             0.551773                  0.030760 
651          0.577728             0.552362                  0.025366 
652          0.579872             0.551618                  0.028255 
653          0.578378             0.551669                  0.026709 
654          0.582289             0.551623                  0.030665 
655          0.577744             0.552109                  0.025636 
656          0.584994             0.552157                  0.032837 
657          0.579611             0.552255                  0.027356 
658          0.579350             0.551852                  0.027498 
659          0.582928             0.552384                  0.030543 
660          0.577778             0.552354                  0.025424 
661          0.582228             0.552769                  0.029459 
662          0.578050             0.552731                  0.025319 
663          0.589878             0.553128                  0.036749 
664          0.590817             0.553395                  0.037422 
665          0.589444             0.552970                  0.036474 
666          0.589483             0.553722                  0.035761 
667          0.582878             0.553877                  0.029001 
668          0.580828             0.553748                  0.027080 
669          0.582522             0.554321                  0.028201 
670          0.583139             0.554886                  0.028252 
671          0.585006             0.555024                  0.029981 
672          0.586133             0.554790                  0.031343 
673          0.585333             0.554979                  0.030354 
674          0.586261             0.554993                  0.031268 
675          0.585722             0.555006                  0.030716 
676          0.585450             0.555177                  0.030273 
677          0.585061             0.555619                  0.029442 
678          0.584556             0.556017                  0.028539 
679          0.587789             0.556565                  0.031224 
680          0.590556             0.556561                  0.033994 
681          0.585494             0.556168                  0.029326 
682          0.582622             0.556182                  0.026440 
683          0.596539             0.556624                  0.039915 
684          0.584450             0.557170                  0.027280 
685          0.584272             0.557328                  0.026945 
686          0.583972             0.557257                  0.026716 
687          0.590328             0.557221                  0.033107 
688          0.591906             0.557444                  0.034461 
689          0.588372             0.557714                  0.030658 
690          0.586983             0.557673                  0.029310 
691          0.584000             0.557715                  0.026285 
692          0.589383             0.558776                  0.030607 
693          0.595617             0.559062                  0.036555 
694          0.591128             0.559538                  0.031590 
695          0.592028             0.559575                  0.032453 
696          0.588078             0.560311                  0.027766 
697          0.588683             0.560493                  0.028190 
698          0.589728             0.560370                  0.029358 
699          0.588839             0.560776                  0.028063 
700          0.593522             0.561148                  0.032374 
701          0.593589             0.561784                  0.031805 
702          0.589894             0.561827                  0.028067 
703          0.592456             0.561259                  0.031196 
